# Time (s)	Gamma
     390.0	    0.0870
     390.3	    0.0870
     390.6	    0.0870
     390.9	    0.0870
     391.2	    0.0870
     391.5	    0.0870
     391.8	    0.0870
     392.1	    0.0870
     392.4	    0.0870
     392.7	    0.0870
     393.0	    0.0869
     393.3	    0.0869
     393.6	    0.0868
     393.9	    0.0868
     394.2	    0.0868
     394.5	    0.0868
     394.8	    0.0867
     395.1	    0.0867
     395.4	    0.0867
     395.7	    0.0867
     396.0	    0.0867
     396.3	    0.0867
     396.6	    0.0867
     396.9	    0.0867
     397.2	    0.0868
     397.5	    0.0868
     397.8	    0.0868
     398.1	    0.0868
     398.4	    0.0867
     398.7	    0.0866
     399.0	    0.0866
     399.3	    0.0866
     399.6	    0.0866
     399.9	    0.0866
     400.2	    0.0865
     400.5	    0.0865
     400.8	    0.0865
     401.1	    0.0865
     401.4	    0.0865
     401.7	    0.0865
     402.0	    0.0865
     402.3	    0.0865
     402.6	    0.0865
     402.9	    0.0865
     403.2	    0.0865
     403.5	    0.0865
     403.8	    0.0865
     404.1	    0.0865
     404.4	    0.0865
     404.7	    0.0865
     405.0	    0.0864
     405.3	    0.0864
     405.6	    0.0863
     405.9	    0.0863
     406.2	    0.0863
     406.5	    0.0863
     406.8	    0.0863
     407.1	    0.0863
     407.4	    0.0863
     407.7	    0.0863
     408.0	    0.0863
     408.3	    0.0862
     408.6	    0.0862
     408.9	    0.0862
     409.2	    0.0863
     409.5	    0.0863
     409.8	    0.0863
     410.1	    0.0863
     410.4	    0.0863
     410.7	    0.0863
     411.0	    0.0862
     411.3	    0.0862
     411.6	    0.0861
     411.9	    0.0861
     412.2	    0.0861
     412.5	    0.0861
     412.8	    0.0861
     413.1	    0.0860
     413.4	    0.0860
     413.7	    0.0860
     414.0	    0.0860
     414.3	    0.0861
     414.6	    0.0861
     414.9	    0.0861
     415.2	    0.0861
     415.5	    0.0861
     415.8	    0.0860
     416.1	    0.0860
     416.4	    0.0860
     416.7	    0.0859
     417.0	    0.0859
     417.3	    0.0859
     417.6	    0.0859
     417.9	    0.0859
     418.2	    0.0859
     418.5	    0.0860
     418.8	    0.0860
     419.1	    0.0860
     419.4	    0.0859
     419.7	    0.0859
     420.0	    0.0859
     420.3	    0.0858
     420.6	    0.0858
     420.9	    0.0858
     421.2	    0.0858
     421.5	    0.0858
     421.8	    0.0858
     422.1	    0.0858
     422.4	    0.0858
     422.7	    0.0858
     423.0	    0.0858
     423.3	    0.0857
     423.6	    0.0857
     423.9	    0.0857
     424.2	    0.0858
     424.5	    0.0858
     424.8	    0.0858
     425.1	    0.0858
     425.4	    0.0858
     425.7	    0.0857
     426.0	    0.0857
     426.3	    0.0857
     426.6	    0.0856
     426.9	    0.0856
     427.2	    0.0856
     427.5	    0.0856
     427.8	    0.0856
     428.1	    0.0856
     428.4	    0.0856
     428.7	    0.0856
     429.0	    0.0856
     429.3	    0.0856
     429.6	    0.0856
     429.9	    0.0856
     430.2	    0.0855
     430.5	    0.0855
     430.8	    0.0856
     431.1	    0.0856
     431.4	    0.0856
     431.7	    0.0856
     432.0	    0.0856
     432.3	    0.0856
     432.6	    0.0855
     432.9	    0.0855
     433.2	    0.0854
     433.5	    0.0854
     433.8	    0.0854
     434.1	    0.0853
     434.4	    0.0853
     434.7	    0.0853
     435.0	    0.0853
     435.3	    0.0854
     435.6	    0.0854
     435.9	    0.0854
     436.2	    0.0855
     436.5	    0.0855
     436.8	    0.0855
     437.1	    0.0854
     437.4	    0.0854
     437.7	    0.0854
     438.0	    0.0853
     438.3	    0.0853
     438.6	    0.0853
     438.9	    0.0853
     439.2	    0.0853
     439.5	    0.0853
     439.8	    0.0852
     440.1	    0.0852
     440.4	    0.0852
     440.7	    0.0852
     441.0	    0.0852
     441.3	    0.0852
     441.6	    0.0852
     441.9	    0.0852
